split,mouse,cohort,area,horizon,persistence,selected_nested,improvement_vs_persistence_pct
supervised_test,TX108,supervised,aHV,0,1.6393970832700644,1.2655236570805104,22.805544184804695
supervised_test,TX108,supervised,aHV,1,2.2989375258958424,1.747903863462829,23.96905771583716
supervised_test,TX108,supervised,mHV,0,1.256871793494764,0.5467134262248419,56.50205302923608
supervised_test,TX108,supervised,mHV,1,1.5912470171783615,0.5361362387554748,66.30716457171026
supervised_test,TX60,supervised,aHV,0,1.2943051048078997,0.9018362994148371,30.322742600270647
supervised_test,TX60,supervised,aHV,1,3.057930185266236,2.627251954971019,14.083978514954898
supervised_test,TX60,supervised,mHV,0,1.5274779491065182,0.813364937516318,46.75111755347518
supervised_test,TX60,supervised,mHV,1,1.5987825403052995,0.6745237258038789,57.810164372005616
supervised_test,VR2,supervised,aHV,0,2.258893767086789,1.8761160812572883,16.94536022042128
supervised_test,VR2,supervised,aHV,1,5.77132631910794,5.2966356072389855,8.22498478897874
supervised_test,VR2,supervised,mHV,0,1.763321786692016,1.187146095537461,32.675583974690056
supervised_test,VR2,supervised,mHV,1,2.6292011645265068,1.389979017830806,47.133028975318915
unsupervised_lomo,DR10,unsupervised,aHV,0,0.8915533111630671,0.8915533111630671,0.0
unsupervised_lomo,DR10,unsupervised,aHV,1,0.810058477660044,0.3473183742974068,57.12428375533089
unsupervised_lomo,DR10,unsupervised,mHV,0,1.2455140967002367,0.6481766144029136,47.959110529528346
unsupervised_lomo,DR10,unsupervised,mHV,1,1.7008138898946512,0.8078390134886472,52.50279773181503
unsupervised_lomo,DR15,unsupervised,aHV,0,1.2798884167798432,1.0117035852180587,20.95376659760143
unsupervised_lomo,DR15,unsupervised,aHV,1,0.5150778078384094,0.3351386762566658,34.934359206210296
unsupervised_lomo,DR15,unsupervised,mHV,0,1.5657580276089385,1.4478864908154214,7.528081268950482
unsupervised_lomo,DR15,unsupervised,mHV,1,1.0064740350882095,0.559890861024521,44.37105762242034
unsupervised_lomo,TX104,unsupervised,aHV,0,0.6394479132849374,0.5683438300735533,11.119605167856772
unsupervised_lomo,TX104,unsupervised,aHV,1,1.4641868480489415,1.0543422776189328,27.991275223932988
unsupervised_lomo,TX104,unsupervised,mHV,0,0.829313117831862,0.2965786558707446,64.23803633468222
unsupervised_lomo,TX104,unsupervised,mHV,1,1.5657901548280193,0.7202988608123017,53.99773982539718
unsupervised_lomo,TX105,unsupervised,aHV,0,0.538828959329218,0.7070942496560295,-31.227959710310117
unsupervised_lomo,TX105,unsupervised,aHV,1,0.7801033262456825,0.31699485266156663,59.36501717187479
unsupervised_lomo,TX105,unsupervised,mHV,0,1.0933561047252576,1.0419445526259543,4.702178172062443
unsupervised_lomo,TX105,unsupervised,mHV,1,1.1531054628434596,1.0547873989533187,8.526372223378154
unsupervised_lomo,TX119,unsupervised,aHV,0,0.46538288892372975,0.9320406646165244,-100.27394362779715
unsupervised_lomo,TX119,unsupervised,aHV,1,2.7749187219356783,3.8893012365767463,-40.159104691315676
unsupervised_lomo,TX119,unsupervised,mHV,0,1.2045484522725678,0.45488129695467466,62.2363636683547
unsupervised_lomo,TX119,unsupervised,mHV,1,1.8071914599604455,1.5360281966905105,15.0046782135563
unsupervised_lomo,TX123,unsupervised,aHV,0,0.2749665372404725,0.39862177651178476,-44.97101375036387
unsupervised_lomo,TX123,unsupervised,aHV,1,0.7567848834509565,0.21601568726283887,71.45613079930952
unsupervised_lomo,TX123,unsupervised,mHV,0,0.4257231562802847,0.7831766236150709,-83.96383002935562
unsupervised_lomo,TX123,unsupervised,mHV,1,0.7344406795707126,0.8577348878252296,-16.787497164043753
unsupervised_lomo,TX83,unsupervised,aHV,0,0.4508917324560884,0.748511158364005,-66.00684920229742
unsupervised_lomo,TX83,unsupervised,aHV,1,1.3596079951565252,0.9820361611052637,27.77063943403727
unsupervised_lomo,TX83,unsupervised,mHV,0,0.2088202730082315,1.4759950155054624,-606.8255367366942
unsupervised_lomo,TX83,unsupervised,mHV,1,1.0694292241400087,1.5138781255197753,-41.55944978380166
unsupervised_lomo,TX85,unsupervised,aHV,0,1.2793107025056532,2.04527548912434,-59.87324151345494
unsupervised_lomo,TX85,unsupervised,aHV,1,0.4754373040286721,0.9858621883627464,-107.35903136100826
unsupervised_lomo,TX85,unsupervised,mHV,0,1.9620199326980627,1.2607371360246553,35.74289868243293
unsupervised_lomo,TX85,unsupervised,mHV,1,1.9158873863675374,0.6277281785074357,67.23564323383387
unsupervised_lomo,TX88,unsupervised,aHV,0,0.7137936591850709,0.5694412784926817,20.22326464166051
unsupervised_lomo,TX88,unsupervised,aHV,1,1.2581556929759337,0.9177150772485863,27.058703277183316
unsupervised_lomo,TX88,unsupervised,mHV,0,2.0216762461910807,0.9485034768190451,53.083314966673626
unsupervised_lomo,TX88,unsupervised,mHV,1,1.6356282234483546,0.5214109168227158,68.12167280144885
